Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.123.176-34.227.147.87-0-0-0,192.168.123.176,0,34.227.147.87,0,0,15/04/2025 05:12:40 PM,3643,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.9980785067253,3643.0,0.0,3643.0,3643.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.49903925336264,274.49903925336264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-3.231.140.122-63009-443-6,192.168.123.176,63009,3.231.140.122,443,6,15/04/2025 05:12:30 PM,2186590,8,11,1384.0,6126.0,578.0,0.0,173.0,220.958948999259,1380.0,0.0,556.909090909091,645.6601977116841,3434.5716389446584,8.68932904659767,121477.2222222222,202643.52008784979,582978.0,0.0,1665955.0,237993.57142857142,235795.78984922325,583343.0,70.0,2136288.0,213628.8,238402.32548679368,583817.0,0.0,0,0,0,0,160,244,3.658664861725335,5.030664184872336,0.0,1380.0,375.5,530.2225451340419,281135.947368421,0,1,0,0,0,0,0,0,1.0,395.2631578947368,173.0,556.9090909090909,0,0,0,0,0,0,8,1384,11,6126,-1,118,4,0,0,0,0,0,0,0,0,0,No Label
142.250.70.46-192.168.123.176-443-55919-17,192.168.123.176,55919,142.250.70.46,443,17,15/04/2025 05:12:35 PM,20935565,20,22,8748.0,6370.0,1243.0,29.0,437.4,479.69995007844557,1250.0,23.0,289.54545454545456,413.79656000695934,722.1204682080469,2.0061555539580613,510623.5365853657,1449097.380153385,6274990.0,0.0,2.0581819E7,1083253.6315789472,2051929.7282897767,6369080.0,87.0,2.0906605E7,995552.619047619,2114530.5012894347,7057920.0,0.0,0,0,0,0,160,176,0.9553121685514577,1.0508433854066035,23.0,1250.0,368.6511627906978,445.44214972161734,198418.70874861575,0,0,0,0,0,0,0,0,1.0,377.42857142857144,437.4,289.54545454545456,0,0,0,0,0,0,20,8748,22,6370,-1,-1,20,0,3815193.5,1878148.4428299326,5143245.0,2487142.0,6185933.0,125945.61722426073,6274990.0,6096876.0,No Label
192.168.123.176-52.5.128.113-0-0-0,192.168.123.176,0,52.5.128.113,0,0,15/04/2025 05:12:32 PM,387245,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.164689021162313,387245.0,0.0,387245.0,387245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5823445105811564,2.5823445105811564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-51.105.71.137-62939-443-6,192.168.123.176,62939,51.105.71.137,443,6,15/04/2025 05:12:54 PM,1037405,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9278873728196801,1037405.0,0.0,1037405.0,1037405.0,0,0,0,0,0,1037405.0,1037405.0,0.0,1037405.0,1037405.0,0,0,0,0,0,40,0.0,1.9278873728196801,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
174.129.250.209-192.168.123.176-0-0-0,192.168.123.176,0,174.129.250.209,0,0,15/04/2025 05:12:30 PM,409249,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.887000334759524,409249.0,0.0,409249.0,409249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.443500167379762,2.443500167379762,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-54.192.142.65-63014-443-6,54.192.142.65,443,192.168.123.176,63014,6,15/04/2025 05:12:55 PM,368,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5434.782608695652,368.0,0.0,368.0,368.0,0,0,0,0,0,368.0,368.0,0.0,368.0,368.0,0,0,0,0,0,40,0.0,5434.782608695652,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-57548-53-17,192.168.123.176,57548,192.168.123.114,53,17,15/04/2025 05:12:30 PM,275573,0,2,0.0,337.0,0,0,0,0,301.0,36.0,168.5,187.3832970144351,1222.9064530995415,7.2576050629052915,275573.0,0.0,275573.0,275573.0,0,0,0,0,0,275573.0,275573.0,0.0,275573.0,275573.0,0,0,0,0,0,16,0.0,7.2576050629052915,36.0,301.0,124.33333333333333,152.99782133525082,23408.333333333332,0,0,0,0,0,0,0,0,0.0,186.5,0.0,168.5,0,0,0,0,0,0,0,0,2,337,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-54.243.50.182-63012-443-6,192.168.123.176,63012,54.243.50.182,443,6,15/04/2025 05:12:31 PM,1841893,8,11,1754.0,4682.0,1024.0,0.0,219.25,351.62794866977555,1380.0,0.0,425.6363636363637,617.0018270195434,3494.2312066987606,10.315474351658864,102327.38888888889,169824.25603101266,499104.0,0.0,1342533.0,191790.42857142858,182334.32003589554,411557.0,669.0,1801300.0,180130.0,199340.5748734785,499104.0,0.0,0,0,0,0,160,244,4.3433576217511005,5.972116729907763,0.0,1380.0,321.79999999999995,511.8951989781132,262036.69473684212,0,1,0,0,0,0,0,0,1.0,338.7368421052632,219.25,425.6363636363636,0,0,0,0,0,0,8,1754,11,4682,-1,184,4,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-51845-53-17,192.168.123.176,51845,192.168.123.114,53,17,15/04/2025 05:12:30 PM,230009,0,2,0.0,177.0,0,0,0,0,131.0,46.0,88.5,60.10407640085654,769.5351051480594,8.695311922576943,230009.0,0.0,230009.0,230009.0,0,0,0,0,0,230009.0,230009.0,0.0,230009.0,230009.0,0,0,0,0,0,16,0.0,8.695311922576943,46.0,131.0,74.33333333333333,49.074772881118186,2408.333333333333,0,0,0,0,0,0,0,0,0.0,111.5,0.0,88.5,0,0,0,0,0,0,0,0,2,177,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-192.168.123.114-61488-53-17,192.168.123.176,61488,192.168.123.114,53,17,15/04/2025 05:12:38 PM,362154,0,2,0.0,183.0,0,0,0,0,135.0,48.0,91.5,61.518289963229634,505.30989579018876,5.522512522297145,362154.0,0.0,362154.0,362154.0,0,0,0,0,0,362154.0,362154.0,0.0,362154.0,362154.0,0,0,0,0,0,16,0.0,5.522512522297145,48.0,135.0,77.0,50.22947341949744,2523.0,0,0,0,0,0,0,0,0,0.0,115.5,0.0,91.5,0,0,0,0,0,0,0,0,2,183,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
76,62973,6,15/04/2025 05:12:55 PM,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,127,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-44.219.202.51-62987-443-6,44.219.202.51,443,192.168.123.176,62987,6,15/04/2025 05:12:55 PM,155,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,200000.0,19354.83870967742,77.5,38.890872965260115,105.0,50.0,0,0,0,0,0,105.0,105.0,0.0,105.0,105.0,0,1,0,0,20,40,6451.612903225807,12903.225806451614,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-54.210.95.32-62972-443-6,54.210.95.32,443,192.168.123.176,62972,6,15/04/2025 05:12:55 PM,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,278,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-54.235.136.200-63000-443-6,192.168.123.176,63000,54.235.136.200,443,6,15/04/2025 05:12:54 PM,1144393,0,3,0.0,31.0,0,0,0,0,31.0,0.0,10.333333333333332,17.8978583448784,27.088596312630365,2.621477062512616,572196.5,809208.0506424167,1144393.0,0.0,0,0,0,0,0,1144393.0,572196.5,809208.0506424167,1144393.0,0.0,0,0,0,0,0,60,0.0,2.621477062512616,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,0,0,0,0,0,0,3,31,-1,176,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-44.219.202.51-62990-443-6,192.168.123.176,62990,44.219.202.51,443,6,15/04/2025 05:12:54 PM,1144654,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,27.082419665680632,3.49450576331363,381551.3333333334,660557.9940189456,1144298.0,105.0,0,0,0,0,0,1144654.0,572327.0,808889.1454841015,1144298.0,356.0,0,0,0,0,20,60,0.8736264408284075,2.6208793224852225,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,0,0,1,0,0,0,3.0,7.75,0.0,10.333333333333334,0,0,0,0,0,0,1,0,3,31,-1,176,0,0,0,0,0,0,0,0,0,0,No Label
142.250.67.238-192.168.123.176-443-62963-6,142.250.67.238,443,192.168.123.176,62963,6,15/04/2025 05:12:55 PM,371031,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08557775495848,185515.5,262187.4162893788,370910.0,121.0,0,0,0,0,0,121.0,121.0,0.0,121.0,121.0,0,0,0,0,20,40,2.69519258498616,5.39038516997232,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-34.227.147.87-63028-443-6,34.227.147.87,443,192.168.123.176,63028,6,15/04/2025 05:12:56 PM,977,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,31729.78505629478,3070.6243602865916,488.5,519.7234841721124,856.0,121.0,0,0,0,0,0,121.0,121.0,0.0,121.0,121.0,0,1,0,0,20,40,1023.5414534288639,2047.0829068577277,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.123.176-34.227.147.87-63027-443-6,34.227.147.87,443,192.168.123.176,63027,6,15/04/2025 05:12:56 PM,977,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,31729.78505629478,3070.6243602865916,488.5,439.11331111684603,799.0,178.0,0,0,0,0,0,178.0,178.0,0.0,178.0,178.0,0,1,0,0,20,40,1023.5414534288639,2047.0829068577277,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
